Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Dakari Johnson,2015,2,48,2018,2018,31.0,161.0,22.0,39.0,0.0,0.0,11.0,20.0,16.0,34.0,8.0,6.0,8.0,3.0,27.0,55.0,.564,,.550,5.2,1.8,1.1,0.3
Tom Payne,,,,1972,1972,29.0,227.0,45.0,103.0,,,29.0,46.0,,69.0,15.0,,,,40.0,119.0,.437,,.630,7.8,4.1,2.4,0.5
Jimmy Conner,1975,2,36,1976,1976,24.0,240.0,42.0,86.0,0.0,3.0,22.0,29.0,12.0,28.0,38.0,11.0,5.0,32.0,35.0,106.0,.488,.000,.759,10.0,4.4,1.2,1.6
Rob Lock,1988,3,51,1989,1989,20.0,110.0,9.0,32.0,0.0,0.0,12.0,15.0,14.0,32.0,4.0,3.0,4.0,13.0,15.0,30.0,.281,,.800,5.5,1.5,1.6,0.2
Jerry Bird,1956,3,19,1959,1959,11.0,45.0,12.0,32.0,,,1.0,1.0,,12.0,4.0,,,,7.0,25.0,.375,,1.000,4.1,2.3,1.1,0.4
Larry Johnson,1977,2,24,1978,1978,4.0,38.0,3.0,13.0,,,0.0,2.0,1.0,5.0,7.0,5.0,2.0,3.0,3.0,6.0,.231,,.000,9.5,1.5,1.3,1.8
Jack Parkinson,1948,2,,1950,1950,4.0,,1.0,12.0,,,1.0,1.0,,,2.0,,,,3.0,3.0,.083,,1.000,,0.8,,0.5
Skippy Whitaker,1952,3,,1955,1955,3.0,15.0,1.0,6.0,,,0.0,0.0,,1.0,1.0,,,,4.0,2.0,.167,,,5.0,0.7,0.3,0.3
Joe Crawford,2008,2,58,2009,2009,2.0,23.0,3.0,10.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,9.0,.300,.250,1.000,11.5,4.5,2.0,0.5
Jim Andrews,1973,7,107,,,,,,,,,,,,,,,,,,,,,,,,,
